cohort,fold,redundancy,n_cell_types,held_auc,held_ap,held_f1,held_mcc
Pappalardo,1,pearson,8,0.9333333333333333,0.942857142857143,0.7142857142857143,0.43033148291193524
Pappalardo,1,MI,8,0.8333333333333334,0.8350000000000001,0.6666666666666666,0.28867513459481287
Pappalardo,2,pearson,8,0.9666666666666667,0.9666666666666668,0.8333333333333333,0.6900655593423543
Pappalardo,2,MI,8,1.0,1.0,0.7692307692307693,0.5590169943749475
Pappalardo,3,pearson,8,1.0,1.0,0.7692307692307693,0.5590169943749475
Pappalardo,3,MI,8,0.9333333333333333,0.9266666666666667,0.7692307692307693,0.5590169943749475
Pappalardo,4,pearson,8,1.0,1.0,0.9090909090909091,0.8333333333333334
Pappalardo,4,MI,8,0.9666666666666667,0.9666666666666668,0.9090909090909091,0.8333333333333334
Pappalardo,5,pearson,8,0.9666666666666667,0.9666666666666668,0.9090909090909091,0.8333333333333334
Pappalardo,5,MI,8,0.9333333333333333,0.942857142857143,0.7692307692307693,0.5590169943749475
Heming,1,pearson,8,0.6790123456790123,0.7021164021164021,0.6153846153846153,-0.24253562503633297
Heming,1,MI,8,0.6790123456790123,0.6631572131572131,0.6153846153846153,-0.24253562503633297
Heming,2,pearson,8,0.7654320987654321,0.8093314093314092,0.6956521739130435,0.2672612419124244
Heming,2,MI,8,0.7407407407407408,0.72675349342016,0.6666666666666666,0.2357022603955158
Heming,3,pearson,8,0.6419753086419753,0.6940716690716691,0.6363636363636364,0.12403473458920847
Heming,3,MI,8,0.6172839506172839,0.634361317694651,0.6666666666666666,0.2357022603955158
Heming,4,pearson,8,0.7160493827160493,0.7771723646723646,0.6666666666666666,0.0
Heming,4,MI,8,0.6790123456790124,0.7293891293891294,0.72,0.3535533905932738
Heming,5,pearson,8,0.6666666666666666,0.7442871398753752,0.6956521739130435,0.2672612419124244
Heming,5,MI,8,0.5925925925925926,0.6887584093466446,0.6363636363636364,0.12403473458920847
Ramesh,1,pearson,8,0.9047619047619048,0.9822929171668667,0.8333333333333333,0.5532833351724882
Ramesh,1,MI,8,0.9285714285714286,0.9873949579831932,0.7272727272727273,0.4364357804719847
Ramesh,2,pearson,8,0.9285714285714285,0.9846415489272632,0.782608695652174,0.49099025303098287
Ramesh,2,MI,8,0.9761904761904762,0.9952380952380953,0.7272727272727273,0.4364357804719847
Ramesh,3,pearson,8,0.8333333333333333,0.965391156462585,0.6,0.34188172937891387
Ramesh,3,MI,8,0.9761904761904762,0.9952380952380953,0.7272727272727273,0.4364357804719847
Ramesh,4,pearson,8,0.9285714285714286,0.985969387755102,0.7272727272727273,0.4364357804719847
Ramesh,4,MI,8,0.8571428571428572,0.9708460307199802,0.8333333333333333,0.5532833351724882
Ramesh,5,pearson,7,0.9523809523809524,0.9910714285714285,0.7272727272727273,0.4364357804719847
Ramesh,5,MI,7,0.9285714285714286,0.9873949579831932,0.7272727272727273,0.4364357804719847
