cohort,fold,cell_type,n_pearson,n_MI,overlap,jaccard
Ramesh,4,Mono,10,10,6,0.42857142857142855
Ramesh,4,CD4_T,10,9,7,0.5833333333333334
Ramesh,4,CD8_T,10,9,7,0.5833333333333334
Ramesh,4,NK,10,10,6,0.42857142857142855
Ramesh,4,DC,9,10,6,0.46153846153846156
Ramesh,4,dnT,10,9,4,0.26666666666666666
Ramesh,4,gdT,10,10,6,0.42857142857142855
Ramesh,5,Mono,10,10,5,0.3333333333333333
Ramesh,5,CD4_T,10,9,6,0.46153846153846156
Ramesh,5,CD8_T,10,10,6,0.42857142857142855
Ramesh,5,NK,10,10,8,0.6666666666666666
Ramesh,5,DC,9,9,7,0.6363636363636364
Ramesh,5,dnT,10,10,3,0.17647058823529413
Ramesh,5,gdT,10,10,5,0.3333333333333333
