cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Pappalardo,1,5,DE_top,8,1.0,0.9,1.0,0.902857142857143,0.9090909090909091,0.8333333333333333,0.7905694150420948,0.6900655593423543
Pappalardo,1,5,HVG,8,0.6,0.7000000000000001,0.8111111111111112,0.6433333333333333,0.6153846153846154,0.625,-0.31622776601683794,0.0
Pappalardo,1,5,LASSO,8,1.0,0.9,1.0,0.925,0.9090909090909091,0.6666666666666666,0.7905694150420948,0.28867513459481287
Pappalardo,1,5,ElasticNet,8,1.0,0.9,1.0,0.925,0.9090909090909091,0.7692307692307693,0.7905694150420948,0.5590169943749475
Pappalardo,1,10,DE_top,8,1.0,0.9,1.0,0.925,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,10,HVG,8,0.75,0.7333333333333333,0.8583333333333334,0.7833333333333333,0.7692307692307693,0.6153846153846154,0.3952847075210474,0.14907119849998599
Pappalardo,1,10,LASSO,8,1.0,0.9333333333333333,1.0,0.9266666666666667,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,10,ElasticNet,8,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,0.8333333333333334
Pappalardo,1,15,DE_top,8,1.0,0.9666666666666667,1.0,0.9666666666666668,1.0,0.6666666666666666,1.0,0.28867513459481287
Pappalardo,1,15,HVG,8,0.75,0.8666666666666667,0.8350000000000001,0.8850000000000001,0.7142857142857143,0.7142857142857143,0.0,0.43033148291193524
Pappalardo,1,15,LASSO,8,1.0,0.9,1.0,0.902857142857143,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,15,ElasticNet,8,1.0,0.8,1.0,0.7961904761904762,0.888888888888889,0.7142857142857143,0.8,0.43033148291193524
Pappalardo,1,20,DE_top,8,1.0,0.9,1.0,0.925,0.888888888888889,0.7142857142857143,0.8,0.43033148291193524
Pappalardo,1,20,HVG,8,0.9,0.8666666666666666,0.9266666666666667,0.8761904761904763,0.7692307692307693,0.7692307692307693,0.3952847075210474,0.5590169943749475
Pappalardo,1,20,LASSO,8,1.0,0.9333333333333333,1.0,0.9266666666666667,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,20,ElasticNet,8,1.0,0.7999999999999999,1.0,0.8083333333333333,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,30,DE_top,8,1.0,0.9333333333333333,1.0,0.9266666666666667,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,30,HVG,8,0.9,0.9,0.9266666666666667,0.8766666666666667,0.7142857142857143,0.7142857142857143,0.0,0.43033148291193524
Pappalardo,1,30,LASSO,8,1.0,0.9333333333333333,1.0,0.9266666666666667,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,30,ElasticNet,8,1.0,0.9,1.0,0.902857142857143,1.0,0.6666666666666666,1.0,0.28867513459481287
Pappalardo,1,50,DE_top,8,1.0,0.9666666666666667,1.0,0.9666666666666668,1.0,0.625,1.0,0.0
Pappalardo,1,50,HVG,8,0.9,0.9,0.9266666666666667,0.8766666666666667,0.7692307692307693,0.7142857142857143,0.3952847075210474,0.43033148291193524
Pappalardo,1,50,LASSO,8,1.0,0.9333333333333333,1.0,0.942857142857143,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,1,50,ElasticNet,8,1.0,0.9333333333333333,1.0,0.942857142857143,1.0,0.7142857142857143,1.0,0.43033148291193524
Pappalardo,2,5,DE_top,8,1.0,0.9666666666666667,1.0,0.9666666666666668,0.8333333333333333,0.7692307692307693,0.5976143046671968,0.5590169943749475
Pappalardo,2,5,HVG,8,0.7,0.7333333333333334,0.7683333333333333,0.6544444444444445,0.7142857142857143,0.625,0.0,0.0
Pappalardo,2,5,LASSO,8,0.8,0.9666666666666667,0.8761904761904763,0.9666666666666668,0.8333333333333333,0.6666666666666666,0.5976143046671968,0.28867513459481287
Pappalardo,2,5,ElasticNet,8,0.8,0.9,0.8761904761904763,0.902857142857143,0.7272727272727272,0.7142857142857143,0.31622776601683794,0.43033148291193524
