method,ROC_AUC,sigma_AUC,MCC,Macro_F1,Balanced_Accuracy,within_panel_rho
QUBO,0.8150617283950617,0.1278080121682288,0.2551359104439346,0.4880273384079414,0.623015873015873,0.2467059334218974
mRMR,0.8127219282774837,0.0943117885162298,0.282717965733203,0.5132058685694437,0.6357142857142857,0.2791342772523681
DE_top,0.8068783068783069,0.1142452897348044,0.2614842722080071,0.5045823809459561,0.6293650793650793,0.3745551280218233
ElasticNet,0.7917577895355673,0.1197161727000897,0.2782207870582274,0.534566505280464,0.6505291005291005,0.4468026759479752
LASSO,0.776002351557907,0.0843648748908863,0.1666902888561791,0.4513207344397276,0.5841269841269842,0.2964533591936808
HVG,0.688830099941211,0.2334802816481291,0.2638121103987105,0.4867850144974253,0.619047619047619,0.4649774894519969
