method,ROC_AUC,sigma_AUC,MCC,Macro_F1,Balanced_Accuracy,within_panel_rho
QUBO,0.975,,0.3432464977041004,0.6036507936507937,0.6583333333333333,0.3053810623183144
mRMR,0.95,,0.6489655935458941,0.7806637806637806,0.825,0.3240884067765178
DE_top,1.0,,0.7432464977041005,0.837936507936508,0.8583333333333332,0.471201904502961
LASSO,0.9,,0.5754566999526293,0.7362193362193362,0.775,0.3179324580075319
ElasticNet,0.95,,0.6489655935458941,0.7806637806637806,0.825,0.5858835170052638
HVG,0.8833333333333334,,0.4909267537905544,0.6828860028860029,0.7416666666666666,0.4816289377303333
