method,ROC_AUC,threshold_mean,threshold_min,threshold_max,MCC_fixed,MCC_tuned,Macro_F1_fixed,Macro_F1_tuned,Balanced_Accuracy_fixed,Balanced_Accuracy_tuned
DE_top,0.8068783068783069,0.5023344604239565,0.2770161654749276,0.6591084139855223,0.2614842722080071,0.3407142653434809,0.5045823809459561,0.5844553740606372,0.6293650793650793,0.673968253968254
ElasticNet,0.7917577895355673,0.5358498591708002,0.27318217485866,0.7142140737605329,0.2782207870582274,0.3864049959350947,0.534566505280464,0.6151141613281201,0.6505291005291005,0.6973015873015873
HVG,0.688830099941211,0.5023907664415984,0.2968222366468218,0.675408942457901,0.2638121103987105,0.1505824287535536,0.4867850144974253,0.4838887918308208,0.619047619047619,0.5664550264550264
LASSO,0.776002351557907,0.5613907455394558,0.3070257949931113,0.7255024744800307,0.1666902888561791,0.2245956557108038,0.4513207344397276,0.4756904583204893,0.5841269841269842,0.6075132275132274
QUBO,0.8150617283950617,0.5396433422336827,0.3842138385812063,0.696598119410788,0.2551359104439346,0.3245044477193279,0.4880273384079414,0.5521378896924057,0.623015873015873,0.6665079365079366
mRMR,0.8127219282774837,0.5346603424450705,0.3530822809156598,0.6451453923596505,0.282717965733203,0.3008274906803929,0.5132058685694437,0.570808167914306,0.6357142857142857,0.6561904761904762
